Date,Open,High,Low,Adj Close,Volume
2009-07-22,212.21,212.79,198.44,204.59,12165289.04
2009-07-23,206.65,211.87,206.21,208.69,8732683.84
2009-07-24,214.98,214.98,208.84,211.48,9013768.88
2009-07-27,212.35,215.42,210.19,211.61,5279984.16
2009-07-28,213.39,213.66,207.64,211.77,7189635.66
2009-07-29,211.48,222.35,209.27,220.2,12565891.94
2009-07-30,222.6,240.11,216.0,234.86,17786853.98
2009-07-31,237.46,237.91,229.72,231.72,6395178.34
2009-08-03,233.5,235.64,229.58,234.23,3995504.54
2009-08-04,229.32,238.44,229.32,233.57,6220772.24
2009-08-05,233.28,236.57,223.61,233.06,7290672.14
2009-08-06,233.06,235.44,226.54,227.95,4742502.22
2009-08-07,227.6,229.96,222.98,224.29,5166865.42
2009-08-10,226.96,243.08,226.45,237.48,12057254.88
2009-08-11,236.81,245.84,235.31,238.75,10036552.44
2009-08-12,235.7,236.15,225.13,228.94,12854597.12
2009-08-13,235.44,235.44,228.92,232.08,11387603.6
2009-08-14,233.5,233.5,228.21,229.76,5846844.4
2009-08-17,227.69,227.99,222.6,224.75,6767263.06
2009-08-18,222.49,226.82,220.07,224.18,9249338.14
2009-08-19,225.92,226.76,217.64,219.42,6359319.74
2009-08-20,222.44,223.99,219.44,220.73,4154859.52
2009-08-21,221.16,225.79,218.09,224.36,7863815.22
2009-08-24,227.32,231.67,226.25,229.78,4774797.2
2009-08-25,228.21,233.94,226.49,232.74,6275254.7
2009-08-26,232.05,244.51,231.99,241.65,10046930.06
2009-08-27,242.31,249.36,238.35,241.32,11611180.84
2009-08-28,240.44,242.31,233.99,238.26,5178747.92
2009-08-31,233.94,235.17,229.67,232.2,8137703.02
2009-09-01,235.7,236.3,228.7,232.14,11192701.0
2009-09-02,229.54,239.19,229.54,235.52,9262473.56
2009-09-03,237.86,239.84,233.7,235.1,8848601.46
2009-09-04,237.91,239.67,232.27,234.34,7108446.48
2009-09-07,236.06,243.88,235.08,242.73,6725157.92
2009-09-08,243.15,251.34,242.16,244.36,11226575.76
2009-09-09,244.95,248.83,239.29,246.92,8548351.96
2009-09-10,248.48,250.69,243.22,245.2,5559825.68
2009-09-11,247.15,250.69,244.74,246.87,10362062.74
2009-09-14,235.1,248.44,235.1,246.32,3632814.62
2009-09-15,248.48,253.63,247.6,251.96,4889402.68
2009-09-16,255.1,255.51,249.01,251.34,6601228.06
2009-09-17,253.33,259.05,252.44,256.83,5995978.34
2009-09-18,257.73,259.93,255.1,257.29,4454916.06
2009-09-22,259.91,266.98,256.52,265.51,4270983.5
2009-09-23,267.86,269.48,258.72,260.33,5132527.6
2009-09-24,259.05,268.44,256.41,265.46,7721186.58
2009-09-25,244.51,263.46,244.51,258.79,3482137.16
2009-09-29,262.12,270.71,260.38,268.93,8110206.44
2009-09-30,270.93,274.38,269.72,273.6,4963441.92
2009-10-01,272.26,286.33,270.97,277.49,6454168.7
2009-10-05,272.58,281.52,269.19,271.09,7104077.08
2009-10-06,275.34,276.85,266.55,270.59,8452869.74
2009-10-07,272.67,272.67,259.35,260.68,11435319.74
2009-10-08,262.14,263.79,250.47,251.74,11533148.96
2009-10-09,253.35,260.11,245.24,247.49,11385957.96
2009-10-12,249.8,257.41,248.28,255.46,5872273.2
2009-10-14,257.71,263.46,255.84,261.24,4516464.48
2009-10-15,261.7,263.42,253.33,256.32,4803369.7
2009-10-16,249.36,266.28,249.36,263.6,8159935.9
2009-10-17,285.8,285.8,266.55,268.22,2628750.78
2009-10-20,270.51,275.71,269.65,273.62,8898355.94
2009-10-21,273.16,281.7,272.26,278.79,6504892.34
2009-10-22,278.44,283.7,271.11,275.73,4872081.68
2009-10-23,277.6,284.56,277.38,281.87,8505536.38
2009-10-26,283.29,289.74,279.76,283.97,4621064.6
2009-10-27,289.85,289.85,279.56,283.17,4472543.48
2009-10-28,283.91,286.77,280.63,284.1,4052952.76
2009-10-29,281.08,285.27,278.96,280.21,5524194.96
2009-10-30,283.73,286.71,274.0,277.67,3253984.62
2009-11-03,281.08,281.08,265.61,267.84,3131981.3
2009-11-04,270.06,277.54,269.59,276.52,5154331.52
2009-11-05,278.42,278.42,267.64,275.99,3090136.14
2009-11-06,274.0,280.61,271.2,274.95,4728577.98
2009-11-09,276.21,277.54,271.8,275.22,3882988.04
2009-11-10,276.66,277.99,274.0,276.94,5216113.84
2009-11-11,277.12,285.94,273.34,285.16,4581417.34
2009-11-12,285.05,292.35,284.41,289.63,5348892.42
2009-11-13,289.45,298.27,286.18,296.17,5201960.32
2009-11-16,296.1,299.19,291.68,294.22,3986760.32
2009-11-17,295.22,306.22,291.37,305.14,6046459.64
2009-11-18,305.38,311.88,302.07,303.57,6316388.4
2009-11-19,304.9,306.0,295.88,300.48,3919846.06
2009-11-20,299.64,307.59,296.15,306.34,3168735.26
2009-11-23,307.15,309.36,303.17,306.76,2877631.62
2009-11-24,311.13,311.13,301.4,308.95,3079467.24
2009-11-25,308.95,314.51,305.82,310.6,4404743.56
2009-11-26,311.54,312.61,302.73,304.01,4988380.92
2009-11-27,298.99,303.35,289.47,296.3,4264230.88
2009-11-30,297.87,306.25,297.87,304.24,4393015.68
2009-12-01,310.86,310.86,300.63,303.06,3654311.56
2009-12-02,307.12,307.12,299.22,302.42,2445988.1
2009-12-03,303.95,307.55,300.19,304.96,3370043.68
2009-12-04,300.96,309.8,300.96,307.24,4450172.94
2009-12-07,308.48,311.97,307.15,309.1,2497689.8
2009-12-08,309.29,309.73,305.05,308.61,4781399.82
2009-12-09,308.48,314.18,306.36,312.32,5327489.0
2009-12-10,311.57,313.78,310.22,311.85,1877504.38
2009-12-11,312.52,315.72,309.36,312.06,3041498.18
2009-12-14,309.8,314.64,309.73,311.61,3404138.92
2009-12-15,312.89,314.67,308.12,309.78,2361358.72
2009-12-16,310.12,317.2,307.15,315.17,4033791.72
2009-12-17,317.31,321.73,315.99,319.41,4279214.86
2009-12-18,319.41,323.28,318.0,321.52,3162530.78
2009-12-21,322.66,331.01,321.07,324.41,10552359.72
2009-12-22,327.04,328.14,317.84,319.99,3608126.44
2009-12-23,321.93,331.24,320.66,329.93,5058037.68
2009-12-24,331.46,334.55,327.51,331.15,3459399.96
2009-12-29,331.46,332.25,325.56,327.66,2552704.24
2009-12-30,327.92,330.9,316.09,328.25,1665513.44
2009-12-31,329.81,333.67,328.72,331.57,3228345.34
2010-01-04,333.58,335.39,331.03,332.19,2221667.44
2010-01-05,333.67,335.68,329.93,332.28,2279148.26
2010-01-06,332.28,332.43,323.95,324.76,3789185.44
2010-01-07,325.05,326.77,314.22,315.72,7325553.06
2010-01-08,316.43,317.53,307.81,309.27,6842778.04
2010-01-11,311.13,318.24,309.54,315.63,4885753.62
2010-01-12,323.5,333.22,321.3,331.48,10213733.6
2010-01-13,329.25,351.96,329.09,348.5,12343646.28
2010-01-14,352.87,352.87,340.01,344.64,11684439.58
2010-01-15,351.79,353.38,341.29,349.75,8988810.58
2010-01-18,353.55,366.37,350.46,354.53,8215033.76
2010-01-19,354.53,354.53,344.12,345.02,5832086.06
2010-01-20,350.11,350.11,340.69,344.45,4918163.06
2010-01-21,341.29,350.0,339.37,340.58,5758155.0
2010-01-22,336.31,338.09,329.11,334.92,8570180.18
2010-01-25,334.77,338.31,327.55,334.19,3403509.84
2010-01-27,332.33,336.64,327.97,329.37,5466351.58
2010-01-28,332.11,335.86,322.45,328.68,7376481.38
2010-01-29,325.25,327.81,315.56,326.22,6176025.24
2010-02-01,325.4,338.01,319.05,330.63,3811701.94
2010-02-02,334.55,337.94,325.68,327.2,5347634.04
2010-02-03,329.68,335.39,325.91,333.64,3359968.34
2010-02-04,333.64,334.06,324.58,327.33,3065387.38
2010-02-05,325.68,325.68,317.53,320.6,5198608.12
2010-02-06,322.59,324.58,319.55,323.34,179384.06
2010-02-08,323.03,325.58,313.79,320.88,4705758.4
2010-02-09,321.26,328.77,319.5,325.75,3391809.14
2010-02-10,327.86,329.55,322.63,324.49,2637460.44
2010-02-11,327.0,331.43,325.68,329.1,2722971.78
2010-02-15,332.33,332.33,327.26,330.63,2207667.18
2010-02-16,331.11,338.96,328.88,335.95,1873673.9
2010-02-17,338.94,340.28,333.47,336.17,2852887.4
2010-02-18,336.77,339.85,334.77,336.24,2047801.94
2010-02-19,334.51,336.55,330.47,332.58,2500368.3
2010-02-22,335.43,338.41,334.02,335.55,2418650.56
2010-02-23,336.32,338.98,332.89,337.7,2090958.2
2010-02-24,334.99,341.51,333.26,339.14,4599367.38
2010-02-25,341.11,341.11,337.32,339.53,3016158.1
2010-02-26,339.92,344.98,330.63,337.57,3403138.12
2010-03-02,337.66,340.75,334.55,338.18,4573746.24
2010-03-03,340.75,342.97,338.6,340.64,3108412.72
2010-03-04,340.31,341.2,335.43,338.49,2317260.58
2010-03-05,338.98,339.85,336.84,337.92,1452585.0
2010-03-08,340.13,341.2,336.9,337.96,3402919.24
2010-03-09,338.09,344.96,338.09,340.62,3901656.9
2010-03-10,338.41,347.6,336.77,345.65,5176893.44
2010-03-11,345.65,352.23,342.07,350.77,3626666.92
2010-03-12,354.49,354.49,350.94,353.14,2833350.52
2010-03-15,353.14,363.35,350.57,362.47,6831739.44
2010-03-16,364.02,368.65,361.49,367.34,3485422.28
2010-03-17,369.55,374.83,367.78,372.53,4710779.7
2010-03-18,374.43,374.43,363.57,365.94,4202735.14
2010-03-19,356.81,369.75,356.81,363.75,5322173.18
2010-03-22,361.09,369.46,357.21,366.73,3735082.26
2010-03-23,367.78,369.11,364.29,367.19,1912573.88
2010-03-25,365.17,370.8,362.47,367.69,6225963.12
2010-03-26,367.78,370.44,364.38,365.59,2254296.6
2010-03-29,365.13,367.47,358.28,359.79,3885333.64
2010-03-30,358.3,361.62,353.23,354.49,3494792.44
2010-03-31,354.49,357.7,344.43,345.92,7992410.98
2010-04-01,348.44,358.83,346.56,357.95,6523687.78
2010-04-05,362.02,362.02,354.16,355.98,3387230.16
2010-04-06,358.43,358.43,351.01,352.74,4177698.5
2010-04-07,350.06,358.48,346.14,353.63,3412869.32
2010-04-08,352.72,357.81,350.06,354.25,5071461.58
