Date,Open,High,Low,Close,Adj Close,Volume
2018-04-23,5.76,5.89,5.71,5.83,5.83,131200
2018-04-24,5.89,6.19,5.77,6.13,6.13,257000
2018-04-25,6.17,6.17,5.85,5.99,5.99,165900
2018-04-26,6.0,6.24,5.94,6.17,6.17,146300
2018-04-27,6.2,6.34,6.05,6.33,6.33,121800
2018-04-30,6.37,6.4,6.18,6.23,6.23,128400
2018-05-01,6.21,6.25,6.09,6.23,6.23,74500
2018-05-02,6.2,6.31,6.18,6.24,6.24,50100
2018-05-03,6.22,6.25,6.06,6.08,6.08,77200
2018-05-04,6.07,6.38,5.96,6.21,6.21,145400
2018-05-07,6.28,6.62,6.21,6.57,6.57,181000
2018-05-08,6.56,6.58,6.36,6.48,6.48,120300
2018-05-09,6.51,6.53,6.32,6.34,6.34,124400
2018-05-10,6.32,6.59,6.31,6.4,6.4,116900
2018-05-11,6.37,6.48,6.37,6.41,6.41,96200
2018-05-14,6.38,6.51,6.38,6.49,6.49,116900
2018-05-15,6.43,6.55,6.38,6.43,6.43,145700
2018-05-16,6.47,7.1,6.47,7.07,7.07,453000
2018-05-17,7.12,7.35,7.1,7.29,7.29,170600
2018-05-18,7.31,8.33,7.21,8.01,8.01,1352600
2018-05-21,8.25,8.41,7.48,7.56,7.56,1048100
2018-05-22,7.66,8.5,7.62,8.18,8.18,947100
2018-05-23,7.32,7.64,7.25,7.57,7.57,1326300
2018-05-24,7.5,7.6,7.25,7.3,7.3,594900
2018-05-25,7.34,7.85,7.23,7.82,7.82,388000
2018-05-29,7.71,7.92,7.52,7.65,7.65,403000
2018-05-30,7.68,7.95,7.63,7.87,7.87,228300
2018-05-31,7.86,7.91,7.65,7.66,7.66,147900
2018-06-01,7.7,7.75,7.55,7.68,7.68,182200
2018-06-04,7.7,8.03,7.69,7.85,7.85,277900
2018-06-05,7.87,8.04,7.85,7.99,7.99,196400
2018-06-06,8.04,8.39,8.04,8.31,8.31,214800
2018-06-07,8.31,8.56,8.23,8.35,8.35,229700
2018-06-08,8.35,8.42,8.09,8.22,8.22,178600
2018-06-11,8.24,8.47,8.17,8.41,8.41,320900
2018-06-12,8.45,8.54,8.05,8.14,8.14,206000
2018-06-13,8.14,8.2,7.9,7.99,7.99,213300
2018-06-14,8.0,8.21,7.85,8.15,8.15,242100
2018-06-15,8.16,8.85,8.16,8.74,8.74,482700
2018-06-18,8.66,8.75,8.37,8.43,8.43,197100
2018-06-19,8.38,8.74,8.13,8.66,8.66,259800
2018-06-20,8.68,8.83,8.58,8.65,8.65,144600
2018-06-21,8.66,8.93,8.61,8.71,8.71,210200
2018-06-22,8.55,8.76,8.4,8.7,8.7,311700
2018-06-25,8.7,8.7,8.43,8.54,8.54,164400
2018-06-26,8.53,8.8,8.46,8.76,8.76,157900
2018-06-27,8.71,8.75,8.32,8.33,8.33,114400
2018-06-28,8.33,8.76,8.25,8.54,8.54,179700
2018-06-29,8.57,8.67,8.36,8.41,8.41,119400
2018-07-02,8.37,8.47,8.09,8.3,8.3,168700
2018-07-03,8.26,8.39,8.07,8.18,8.18,97900
2018-07-05,8.23,8.63,8.13,8.6,8.6,190500
2018-07-06,8.57,8.75,8.45,8.48,8.48,95800
2018-07-09,8.54,8.7,8.4,8.61,8.61,128800
